,都道府県,世帯総数,一般世帯,施設
0,北海道,"2,424,317","2,418,305","6,012"
1,青森県,"513,385","511,427","1,958"
2,岩手県,"483,934","482,845","1,089"
3,宮城県,"901,862","900,352","1,510"
4,秋田県,"390,136","389,095","1,041"
5,山形県,"388,608","387,682",926
6,福島県,"720,794","719,441","1,353"
7,茨城県,"1,088,411","1,086,715","1,696"
8,栃木県,"745,604","744,193","1,411"
9,群馬県,"755,756","754,324","1,432"
10,埼玉県,"2,841,595","2,837,542","4,053"
11,千葉県,"2,515,904","2,512,441","3,463"
12,東京都,"6,393,768","6,382,049","11,719"
13,神奈川県,"3,844,525","3,830,111","14,414"
14,新潟県,"839,039","837,387","1,652"
15,富山県,"383,439","382,431","1,008"
16,石川県,"441,170","440,247",923
17,福井県,"275,599","274,818",781
18,山梨県,"327,721","327,075",646
19,長野県,"794,461","792,831","1,630"
20,岐阜県,"737,151","735,702","1,449"
21,静岡県,"1,399,140","1,397,173","1,967"
22,愛知県,"2,933,802","2,929,943","3,859"
23,三重県,"704,607","703,237","1,370"
24,滋賀県,"517,748","517,049",699
25,京都府,"1,122,057","1,120,440","1,617"
26,大阪府,"3,832,386","3,823,279","9,107"
27,兵庫県,"2,255,318","2,252,522","2,796"
28,奈良県,"523,523","522,600",923
29,和歌山県,"393,553","392,842",711
30,鳥取県,"211,964","211,396",568
31,島根県,"262,219","260,921","1,298"
32,岡山県,"754,511","752,878","1,633"
33,広島県,"1,184,967","1,183,036","1,931"
34,山口県,"597,432","596,231","1,201"
35,徳島県,"302,294","301,546",748
36,香川県,"390,474","389,652",822
37,愛媛県,"590,888","589,676","1,212"
38,高知県,"321,909","321,004",905
39,福岡県,"2,110,468","2,106,654","3,814"
40,佐賀県,"295,038","294,120",918
41,長崎県,"558,660","556,895","1,765"
42,熊本県,"688,234","686,123","2,111"
43,大分県,"482,051","480,443","1,608"
44,宮崎県,"460,505","459,177","1,328"
45,鹿児島県,"729,386","727,273","2,113"
46,沖縄県,"520,191","519,184","1,007"
