,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
集計世帯数,2254,666,673,737,681,676,953,1297,859,802,2726,2355,2311,2591,953,697,694,705,681,906,890,1346,2387,869,686,792,3003,2044,691,660,679,684,767,1097,854,670,677,665,668,1677,669,665,700,669,682,755,660
世帯数分布,39893,9581,8965,14856,7656,7537,13298,19318,12906,13523,47151,40336,78654,58447,15120,7127,7511,5114,5838,14533,13610,24604,46534,12428,8533,17515,60661,38145,9802,7409,3874,4862,12950,19698,10668,5465,6939,10312,5597,33237,5485,10124,12090,8304,8133,12495,8339
一万分比,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
世帯人員,2.99,3.5,3.49,3.47,3.41,3.74,3.58,3.51,3.38,3.3,3.26,3.29,3.06,3.16,3.44,3.45,3.46,3.54,3.35,3.39,3.45,3.32,3.42,3.35,3.47,3.28,3.19,3.16,3.35,3.3,3.47,3.34,3.21,3.11,3.06,3.31,3.17,3.09,2.92,3.18,3.64,3.23,3.37,3.22,3.2,3.16,3.44
18歳未満人員,0.65,0.74,0.71,0.77,0.65,0.68,0.74,0.7,0.66,0.7,0.69,0.71,0.59,0.71,0.68,0.69,0.82,0.69,0.84,0.81,0.7,0.71,0.79,0.65,0.76,0.69,0.71,0.67,0.69,0.77,0.73,0.69,0.66,0.66,0.68,0.67,0.61,0.72,0.56,0.67,0.83,0.73,0.7,0.72,0.77,0.8,1.01
65歳以上人員,0.54,0.73,0.79,0.67,0.71,0.96,0.78,0.67,0.64,0.63,0.46,0.52,0.6,0.47,0.74,0.7,0.62,0.72,0.63,0.63,0.65,0.62,0.53,0.66,0.59,0.59,0.5,0.57,0.58,0.56,0.79,0.82,0.62,0.54,0.62,0.71,0.64,0.54,0.6,0.55,0.72,0.61,0.68,0.65,0.57,0.5,0.45
うち無職人員,0.47,0.54,0.58,0.52,0.6,0.76,0.63,0.51,0.47,0.5,0.36,0.42,0.46,0.39,0.59,0.52,0.51,0.56,0.48,0.48,0.51,0.48,0.41,0.52,0.51,0.44,0.4,0.49,0.48,0.44,0.6,0.6,0.48,0.42,0.51,0.5,0.44,0.41,0.45,0.45,0.55,0.5,0.51,0.56,0.46,0.38,0.34
有業人員,1.25,1.62,1.69,1.57,1.61,1.87,1.68,1.71,1.67,1.54,1.51,1.45,1.4,1.36,1.65,1.78,1.65,1.84,1.55,1.67,1.68,1.59,1.58,1.61,1.53,1.46,1.36,1.34,1.38,1.42,1.63,1.68,1.51,1.45,1.32,1.58,1.57,1.42,1.44,1.4,1.72,1.48,1.66,1.4,1.58,1.44,1.47
年間収入,5944,5907,6458,6745,6234,7086,6545,7376,7556,6709,7206,7310,7955,7630,7431,8011,7425,8303,6428,6796,7384,7405,7692,7348,7263,6586,6476,6827,7025,6255,6852,6831,6511,6792,6391,6656,6832,6194,6361,6475,6871,5839,6419,5802,5948,5847,4536
世帯主の年齢,53.8,54.4,55,53.3,53.3,54.6,53.6,53.7,53.5,54.4,53,53,55.1,52.3,54.3,54.5,53.4,54.4,52.3,52.9,54.4,53.8,52.1,54.2,52.8,54.5,53.2,53.6,53.1,53.3,54.5,55.2,54.4,53.8,54.9,54.4,55.2,53.5,54.9,53.7,54.4,54.2,54.1,54.6,52.5,53.6,50.7
