,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1955.0,501679,91267,94061,134946,109016,92047,152646,148911,138685,118779,155338,152093,1529161,319290,203771,98789,88360,69410,52542,139021,144777,278670,476287,154790,82581,193598,664951,454088,68177,111072,51645,63946,143274,199492,170968,60839,82729,134190,63686,400713,71809,122357,126211,96614,77126,123206,37391
1956.0,520058,102136,104051,147391,123059,100867,163628,158074,148412,122345,169381,159631,1831464,426328,224124,107631,94177,74004,57796,151891,157270,302062,567730,162271,92460,219904,758787,493164,70633,114339,54199,68070,158720,232611,175321,66807,89317,145786,69376,452355,74361,141968,129366,98889,83516,131688,41224
1957.0,618480,112541,113348,158147,128339,109989,175536,178480,154246,132901,198340,177492,2069866,470223,253512,120614,101938,80274,62859,168494,170318,348767,663032,174357,98001,241010,874028,543169,79247,124708,56900,73170,167293,274751,173710,68460,95285,151659,74676,496798,81829,161853,133691,113584,86872,138371,44341
1958.0,645192,117353,114905,165645,128754,114644,182262,186773,162960,143905,202614,184533,2186525,489386,252552,119696,115744,83688,65611,175777,170637,366005,648850,168336,97643,249826,1002014,571238,85782,118901,57435,77583,167982,271560,186729,72824,97310,152290,76414,525341,86764,158886,144222,123876,85484,147346,48217
1959.0,709120,131386,133461,187905,146798,126379,201575,216305,181215,158623,243270,210077,2313655,589639,281815,138523,135164,93046,73470,200266,211104,415584,762560,197718,115761,282796,1154772,640658,90119,137625,64199,86966,194419,299813,218989,85200,107466,177581,86488,564814,90122,172399,156061,131348,96601,157937,56035
1960.0,810244,144817,157865,215340,164961,145431,229016,246250,213751,182786,292397,252710,2752514,758972,318817,170312,155690,103896,88164,240069,248486,494589,973649,246446,131529,331084,1400566,717101,103343,164860,72552,98001,229460,366183,280804,99984,119524,205316,98444,646084,107846,177227,172824,142481,115997,173066,67475
1961.0,932258,165526,176571,254586,196355,167781,255824,319034,254792,227820,361931,329424,3486345,982590,364977,216164,173365,121234,104933,287134,293190,599214,1132298,298595,147093,392542,1715934,901452,121621,190984,81738,111549,280940,430522,303437,115939,142235,244393,117818,774916,117571,207691,210488,159838,128852,202581,74835
1962.0,1026689,199737,209866,292282,217042,188728,287919,360183,292712,267153,445241,387882,3970626,1130249,435464,223323,201500,139263,121207,328078,327861,693596,1285985,356346,167753,459835,2035505,973632,139362,227515,92108,122365,316562,488195,341733,128986,159610,269498,129331,835255,132266,216978,232955,188189,148522,229252,86914
1963.0,1233139,226549,242964,340966,245106,218384,330394,387349,336239,311629,577134,506304,4629354,1431758,506812,254156,231188,159709,138109,381932,379748,804082,1533500,399913,196447,534841,2444413,1117732,161984,265692,102641,133236,372866,563974,393844,147974,184536,311860,146883,901455,149849,244357,270443,208478,171888,267656,95394
1964.0,1353834,254577,274397,387246,289854,247799,373925,438925,386897,370854,667580,591843,5285519,1688197,587810,283313,269063,184359,154655,433825,427809,902693,1753221,452437,219132,602402,2802991,1295297,189367,316356,117811,153183,438651,704454,449932,171410,216279,361306,168240,1046643,176531,281853,314254,244007,202028,293629,110515
1965.0,1533982,299211,315751,450489,316677,279466,424011,484818,441301,421581,759990,713572,5683906,1896615,655678,313782,289109,201305,177404,489977,467024,981038,1912566,479061,237470,665854,3211660,1480001,213377,373244,132476,172101,486740,773785,515649,183958,242595,391674,187796,1154818,204422,329130,363662,274806,239506,341500,129764
1966.0,1721548,345161,351152,505799,364493,320792,504076,549537,508476,496343,928107,861347,6588135,2259161,750478,361515,336242,232156,207352,569095,548315,1138572,2283835,544035,282490,776543,3781787,1715129,257869,412258,157775,200361,584187,912223,580292,209031,284565,450818,217479,1333892,234530,369391,411957,323349,272805,386866,152398
1967.0,2064525,409787,418582,600227,436993,381926,605383,685143,602280,591285,1154862,1099846,7723911,2661352,886411,423164,401653,271443,238119,680049,644850,1319551,2769712,644878,343549,908630,4509470,2001310,315309,475437,182854,225854,719880,1115458,671990,246140,352742,514475,252700,1593282,258192,416757,480190,376358,312384,448304,181635
1968.0,2326812,468370,469045,712802,506350,451097,685785,842602,714972,703577,1437628,1383598,9057824,3265353,1017035,497846,478201,314602,264375,786136,786519,1554799,3315805,767831,413920,1091638,5286318,2338138,366207,530071,210241,259346,859722,1328424,778828,298307,422815,610714,289971,1827501,301509,490777,574997,429029,360688,502602,207293
1969.0,2604164,542739,542585,837246,546667,509431,799060,996533,850069,841048,1761816,1783010,10815652,3920919,1172856,591616,563149,367314,318995,940713,937529,1873192,4037341,912074,504092,1288042,6307745,2834097,422874,603435,252381,298322,1060580,1615527,908435,350929,497440,729293,337906,2157920,349207,573450,645804,519109,402830,567578,240390
1970.0,3008581,626177,626663,994880,621649,564442,919679,1243623,998569,993921,2175863,2077782,12554775,4708640,1347728,703110,655858,430802,382608,1101450,1088712,2182545,4859905,1070575,603849,1522494,7522460,3333907,502400,683782,296475,343515,1275876,1856651,1057977,412898,576641,855221,390110,2554193,392227,672850,743860,609951,471692,650421,275103
1971.0,3289453,715170,687312,1139792,648208,618387,995643,1388584,1168375,1101188,2385595,2319522,13860979,5038634,1461525,767802,735012,485323,418927,1227733,1223806,2417443,5229042,1164432,692181,1649285,8006189,3736113,539076,754437,333722,386861,1361360,2105245,1112628,463481,645559,933022,452335,2869713,431555,762753,848722,670248,525635,748282,321458
1972.0,3991697,849660,843312,1385393,775429,752920,1260514,1624092,1395677,1271017,3035510,2863361,16588355,5742092,1691227,890424,866694,596489,521343,1437863,1456270,2816527,6298972,1327837,864303,1989414,9514131,4274359,647985,900822,397835,452422,1612362,2579061,1284722,547618,770916,1027073,512548,3455568,526999,887643,1045388,803703,630907,932941,445901
1973.0,5139337,1036806,1092935,1790918,1010831,988587,1638394,2085007,1822190,1593519,3942292,3952777,20649505,7345479,2123309,1160179,1107489,752358,664608,1830355,1871669,3654249,7957289,1721484,1183522,2561641,12172656,5313300,795804,1163094,499244,598326,2044917,3292030,1672037,682560,983947,1292788,644236,4512710,671240,1140259,1349006,1024210,804020,1185067,641578
1974.0,6011373,1263492,1275787,2169233,1201464,1175506,1944975,2564698,2027560,1842781,4303111,4401053,23498741,7987759,2659312,1356081,1289506,900331,760071,2168445,2103798,4180554,8886751,2031820,1336930,2972421,13765216,5997763,903634,1365649,602891,723353,2290000,3656965,1970803,792996,1185749,1484753,767365,5413734,801776,1421580,1599822,1167533,962419,1435242,813852
1975.0,6369761,1475830,1439662,2410192,1326377,1370925,2233655,2866740,2246751,2012575,4848017,4612968,25508148,8593095,2960009,1490080,1351972,967350,808370,2383488,2183481,4391514,9588110,2083576,1313176,3060754,13676149,6494341,973323,1324222,667121,755688,2448220,3991336,2073099,855364,1246501,1652039,855509,5740872,887311,1534339,1796777,1261563,1031897,1556658,921330
1976.0,7225507,1631373,1574884,2678920,1473800,1495236,2451095,3191956,2639219,2311473,5451244,5289179,28086787,9860839,3232803,1666709,1526093,1090464,904038,2650127,2476597,4926018,10929460,2311742,1506321,3455694,15416949,7685665,1124518,1395522,752621,846267,2685019,4391608,2280476,969115,1360655,1887650,966349,6320641,985304,1717584,2008578,1419620,1141003,1789310,974357
1977.0,8155528,1816942,1783657,3002896,1662396,1696536,2739981,3615581,2849474,2599390,5972687,5713443,31400908,10895953,3657726,1833108,1691557,1186525,995569,3029323,2714766,5440852,12039420,2500252,1675381,3869788,16920428,8234994,1269388,1525200,829687,952393,2916985,4817354,2470026,1039217,1516856,1933623,1080974,7196361,1134602,1927968,2260263,1669263,1323960,2042781,1087289
1978.0,8860483,2010644,1984761,3350304,1751355,1850208,3073382,3967541,3266248,2887275,6712140,6354685,34202766,12064138,3986144,2029663,1834981,1267888,1122842,3274790,2976040,6066491,13180049,2708903,1916675,4318173,18023585,8906674,1426173,1653469,903124,1048314,3283325,5207045,2609680,1169264,1620051,2153687,1177805,7843390,1248650,2024399,2489399,1874589,1486284,2248903,1219811
1979.0,9633026,2182273,2149431,3561293,1875007,1959336,3370432,4354020,3750263,3196736,7598920,7107527,36818363,13260377,4135486,2254938,1957395,1370964,1213726,3500531,3195413,6727258,14310988,3027420,2071517,4566715,18900441,9937108,1548930,1736324,991077,1116435,3625630,5638243,2826624,1221225,1802419,2467888,1252274,8867580,1325672,2125815,2714231,2022038,1574735,2347651,1369003
1980.0,10613246,2315122,2232584,3868711,2088865,2114259,3691798,5211894,4000250,3553192,8475230,7735989,40041380,14868718,4712578,2373966,2138379,1595285,1361669,3854179,3611739,7174651,15715068,3318355,2262396,5197965,21423274,10225380,1594379,1924792,1058236,1250467,3850103,6041556,3154491,1345479,2000860,2537666,1354241,9665738,1462394,2332525,2971004,2253606,1696991,2628302,1490504
1981.0,11100845,2476052,2345034,4178167,2121116,2238199,3913791,5411268,4098392,3966887,9242856,8453702,43831968,16025157,5004503,2487921,2332382,1741171,1482959,4143830,3852428,7756806,17248313,3465068,2472483,5585407,22439004,10916985,1703442,2117121,1120809,1337319,4033098,6383834,3199141,1437594,2066543,2724724,1432575,10165391,1527376,2527959,3141039,2275765,1799815,2809060,1615986
1982.0,11671047,2626978,2407393,4440171,2221169,2364479,4128636,5752974,4293421,4130869,9468262,8931970,46775757,16559942,5160263,2615405,2418143,1858171,1538729,4264184,4024488,8102250,18088510,3616284,2694242,5641375,23441839,11353051,1841522,2207076,1177375,1355092,4151794,6594059,3318550,1473960,2129129,2844724,1476730,10328392,1608334,2632941,3303074,2338338,1890823,2937310,1734018
1983.0,11795633,2659991,2510963,4641665,2290014,2426192,4319935,5950286,4569453,4370637,10012259,9368050,49789885,17579792,5387820,2759966,2518571,1920562,1685640,4655320,4240133,8643181,18892497,3808628,2856085,5866465,24131152,11981501,1961685,2064878,1225959,1380797,4396943,6833819,3645783,1565906,2176853,2925564,1499602,10417380,1654609,2725653,3472687,2468658,1917463,3064625,1851030
