,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1955.0,4773.0,1383.0,1427.0,1727.0,1349.0,1354.0,2095.0,2064.0,1548.0,1614.0,2263.0,2205.0,8037.0,2919.0,2473.0,1021.0,966.0,754.0,807.0,2021.0,1584.0,2650.0,3769.0,1486.0,854.0,1935.0,4618.0,3621.0,777.0,1007.0,614.0,929.0,1690.0,2149.0,1610.0,878.0,944.0,1541.0,883.0,3860.0,974.0,1748.0,1896.0,1277.0,1139.0,2044.0,970
1956.0,4832.0,1396.0,1437.0,1740.0,1350.0,1350.0,2093.0,2065.0,1543.0,1612.0,2286.0,2218.0,8349.0,2998.0,2471.0,1024.0,969.0,756.0,804.0,2015.0,1591.0,2671.0,3855.0,1486.0,850.0,1950.0,4761.0,3673.0,777.0,1007.0,613.0,924.0,1692.0,2156.0,1617.0,874.0,943.0,1541.0,883.0,3903.0,972.0,1758.0,1903.0,1276.0,1147.0,2040.0,970
1957.0,4879.0,1406.0,1440.0,1739.0,1347.0,1344.0,2082.0,2062.0,1535.0,1601.0,2310.0,2233.0,8681.0,3091.0,2462.0,1026.0,969.0,754.0,798.0,2003.0,1598.0,2689.0,3945.0,1484.0,846.0,1964.0,4941.0,3730.0,777.0,1003.0,609.0,915.0,1687.0,2163.0,1619.0,865.0,936.0,1532.0,875.0,3940.0,965.0,1759.0,1898.0,1267.0,1143.0,2016.0,970
1958.0,4949.0,1416.0,1446.0,1743.0,1343.0,1337.0,2078.0,2057.0,1530.0,1592.0,2339.0,2256.0,9011.0,3191.0,2460.0,1029.0,970.0,754.0,793.0,1997.0,1608.0,2709.0,4014.0,1485.0,840.0,1977.0,5112.0,3784.0,778.0,1002.0,607.0,909.0,1681.0,2168.0,1623.0,860.0,930.0,1524.0,871.0,3979.0,960.0,1768.0,1887.0,1258.0,1142.0,2003.0,970
1959.0,5002.0,1424.0,1450.0,1747.0,1342.0,1329.0,2069.0,2051.0,1517.0,1588.0,2378.0,2278.0,9349.0,3305.0,2452.0,1031.0,971.0,753.0,787.0,1989.0,1623.0,2732.0,4100.0,1483.0,840.0,1988.0,5294.0,3840.0,780.0,1002.0,604.0,899.0,1676.0,2180.0,1618.0,856.0,928.0,1516.0,866.0,4015.0,956.0,1775.0,1878.0,1252.0,1141.0,1987.0,970
1960.0,5039.0,1427.0,1449.0,1743.0,1336.0,1321.0,2051.0,2047.0,1514.0,1578.0,2431.0,2306.0,9684.0,3443.0,2442.0,1033.0,973.0,753.0,782.0,1981.0,1638.0,2756.0,4206.0,1485.0,843.0,1993.0,5505.0,3906.0,781.0,1002.0,599.0,889.0,1670.0,2184.0,1602.0,847.0,919.0,1501.0,855.0,4007.0,943.0,1760.0,1856.0,1240.0,1135.0,1963.0,970
1961.0,5073.0,1427.0,1444.0,1740.0,1327.0,1310.0,2037.0,2053.0,1513.0,1581.0,2497.0,2356.0,9967.0,3606.0,2434.0,1032.0,975.0,753.0,777.0,1975.0,1645.0,2781.0,4319.0,1491.0,844.0,2009.0,5735.0,3986.0,784.0,1004.0,595.0,879.0,1663.0,2194.0,1594.0,839.0,911.0,1488.0,845.0,3995.0,930.0,1742.0,1838.0,1230.0,1127.0,1943.0,970
1962.0,5099.0,1421.0,1438.0,1735.0,1313.0,1296.0,2021.0,2056.0,1513.0,1584.0,2588.0,2428.0,10224.0,3801.0,2421.0,1029.0,974.0,752.0,770.0,1969.0,1656.0,2810.0,4431.0,1496.0,847.0,2029.0,5982.0,4075.0,789.0,1006.0,591.0,866.0,1653.0,2211.0,1585.0,832.0,904.0,1474.0,835.0,3990.0,911.0,1713.0,1817.0,1217.0,1114.0,1914.0,970
1963.0,5120.0,1419.0,1431.0,1738.0,1302.0,1285.0,2007.0,2053.0,1516.0,1589.0,2718.0,2505.0,10470.0,3990.0,2412.0,1028.0,975.0,752.0,767.0,1965.0,1673.0,2842.0,4551.0,1505.0,846.0,2052.0,6206.0,4156.0,800.0,1011.0,588.0,852.0,1646.0,2231.0,1569.0,826.0,904.0,1462.0,828.0,3970.0,894.0,1693.0,1801.0,1209.0,1101.0,1895.0,970
1964.0,5143.0,1419.0,1420.0,1745.0,1292.0,1275.0,1995.0,2055.0,1519.0,1597.0,2864.0,2609.0,10668.0,4203.0,2404.0,1027.0,978.0,752.0,765.0,1961.0,1685.0,2876.0,4680.0,1512.0,849.0,2076.0,6440.0,4238.0,811.0,1019.0,584.0,837.0,1643.0,2255.0,1551.0,820.0,902.0,1451.0,821.0,3954.0,881.0,1660.0,1783.0,1198.0,1089.0,1876.0,970
1965.0,5172.0,1417.0,1411.0,1753.0,1280.0,1263.0,1984.0,2056.0,1522.0,1606.0,3015.0,2702.0,10869.0,4431.0,2399.0,1025.0,980.0,751.0,763.0,1958.0,1700.0,2913.0,4799.0,1514.0,853.0,2103.0,6657.0,4310.0,826.0,1027.0,580.0,822.0,1645.0,2281.0,1544.0,815.0,901.0,1446.0,813.0,3965.0,872.0,1641.0,1771.0,1187.0,1081.0,1854.0,970
1966.0,5187.0,1418.0,1403.0,1760.0,1270.0,1252.0,1969.0,2052.0,1523.0,1605.0,3161.0,2783.0,11018.0,4595.0,2387.0,1022.0,980.0,746.0,761.0,1950.0,1701.0,2933.0,4886.0,1514.0,853.0,2122.0,6815.0,4360.0,838.0,1028.0,575.0,810.0,1648.0,2301.0,1532.0,808.0,896.0,1437.0,805.0,3980.0,868.0,1634.0,1762.0,1177.0,1078.0,1836.0,970
1967.0,5205.0,1423.0,1396.0,1774.0,1264.0,1247.0,1963.0,2064.0,1531.0,1617.0,3328.0,2903.0,11162.0,4800.0,2383.0,1022.0,985.0,745.0,762.0,1949.0,1713.0,2973.0,4999.0,1517.0,858.0,2154.0,7009.0,4425.0,856.0,1033.0,573.0,801.0,1660.0,2331.0,1525.0,804.0,898.0,1432.0,801.0,3999.0,865.0,1627.0,1757.0,1171.0,1075.0,1819.0,970
1968.0,5213.0,1426.0,1390.0,1789.0,1256.0,1240.0,1955.0,2079.0,1543.0,1629.0,3492.0,3032.0,11286.0,5024.0,2376.0,1022.0,989.0,744.0,761.0,1950.0,1723.0,3011.0,5124.0,1522.0,865.0,2187.0,7213.0,4496.0,877.0,1037.0,571.0,791.0,1672.0,2367.0,1515.0,798.0,899.0,1425.0,796.0,4009.0,856.0,1613.0,1742.0,1164.0,1069.0,1792.0,970
1969.0,5210.0,1429.0,1382.0,1803.0,1249.0,1233.0,1951.0,2109.0,1559.0,1643.0,3670.0,3195.0,11367.0,5240.0,2368.0,1025.0,995.0,743.0,762.0,1953.0,1739.0,3049.0,5258.0,1532.0,875.0,2218.0,7424.0,4584.0,902.0,1040.0,570.0,782.0,1686.0,2403.0,1513.0,794.0,903.0,1421.0,791.0,4020.0,844.0,1597.0,1725.0,1158.0,1062.0,1762.0,970
1970.0,5184.0,1428.0,1371.0,1819.0,1241.0,1226.0,1946.0,2144.0,1580.0,1659.0,3866.0,3367.0,11408.0,5472.0,2361.0,1030.0,1002.0,744.0,762.0,1957.0,1759.0,3090.0,5386.0,1543.0,890.0,2250.0,7620.0,4668.0,930.0,1043.0,569.0,774.0,1707.0,2436.0,1511.0,791.0,908.0,1418.0,787.0,4027.0,838.0,1570.0,1700.0,1156.0,1051.0,1729.0,970
1971.0,5186.0,1429.0,1366.0,1839.0,1234.0,1219.0,1942.0,2180.0,1605.0,1676.0,4062.0,3524.0,11520.0,5712.0,2357.0,1036.0,1012.0,748.0,765.0,1966.0,1780.0,3137.0,5527.0,1558.0,909.0,2281.0,7805.0,4740.0,959.0,1047.0,568.0,767.0,1732.0,2480.0,1515.0,791.0,916.0,1423.0,787.0,4056.0,831.0,1560.0,1681.0,1163.0,1046.0,1710.0,970
