,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1955.0,105107.68908443328,65992.04627621114,65915.20672740015,78138.96931094384,80812.45366938472,67981.53618906943,72862.05250596658,72146.80232558139,89589.79328165374,73592.93680297399,68642.50994255413,68976.41723356009,190265.14868732114,109383.35046248716,82398.30165790538,96757.10088148875,91469.97929606626,92055.70291777188,65107.80669144981,68788.2236516576,91399.62121212122,105158.49056603774,126369.594056779,104165.54508748319,96699.06323185012,100050.64599483204,143991.12169770463,125404.03203534934,87743.88674388675,110299.90069513406,84112.37785016287,68833.15392895587,84777.51479289941,92830.15355979525,106191.3043478261,69292.71070615035,87636.65254237289,87079.81829980532,72124.57531143828,103811.65803108808,73725.8726899384,69998.28375286041,66566.98312236287,75657.00861393892,67713.78402107111,60276.90802348337,38547.422680412375
1956.0,107627.89735099339,73163.32378223495,72408.48990953376,84707.4712643678,91154.81481481482,74716.29629629629,78178.69087434305,76549.15254237287,96184.05703175633,75896.40198511166,74094.92563429572,71970.6943192065,219363.27703916637,142204.13609072717,90701.74018615946,105108.3984375,97189.88648090816,97888.88888888889,71885.57213930348,75380.14888337468,98849.7800125707,113089.47959565706,147271.07652399482,109199.86541049798,108776.4705882353,112771.28205128206,159375.5513547574,134267.3563844269,90904.7619047619,113544.1906653426,88415.98694942905,73668.83116883118,93806.14657210401,107890.07421150278,108423.62399505256,76438.21510297482,94715.80063626723,94604.80207657364,78568.51642129105,115899.30822444274,76503.08641975309,80755.40386803185,67980.03152916448,77499.21630094043,72812.55448997385,64552.94117647058,42498.969072164946
1957.0,126763.68108218897,80043.3854907539,78713.88888888889,90941.34560092007,95277.65404602821,81837.05357142857,84311.23919308357,86556.74102812803,100485.99348534203,83011.2429731418,85861.47186147186,79485.8934169279,238436.35525861074,152126.49627952118,102969.94313566206,117557.50487329435,105199.17440660474,106464.19098143237,78770.67669172933,84120.81877184224,106581.97747183981,129701.37597619933,168068.94803548796,117491.2398921833,115840.4255319149,122713.84928716904,176892.93665249948,145621.71581769438,101990.99099099099,124334.99501495514,93431.85550082101,79967.21311475411,99165.97510373444,127023.11604253351,107294.62631253862,79144.50867052023,101800.21367521367,98994.12532637076,85344.0,126090.86294416244,84796.89119170984,92014.21262080727,70437.82929399368,89647.98737174428,76003.49956255467,68636.40873015873,45712.37113402062
1958.0,130368.15518286523,82876.41242937853,79464.0387275242,95034.42340791739,95870.43931496648,85747.19521316381,87710.29836381137,90798.73602333495,106509.80392156863,90392.58793969848,86624.1983753741,81796.54255319148,242650.64920652536,153364.46255092448,102663.41463414633,116322.64334305152,119323.7113402062,110992.0424403183,82737.70491803279,88020.53079619429,106117.53731343284,135107.05057216686,161646.73642252118,113357.57575757576,116241.66666666666,126366.21143146181,196012.1283255086,150961.41649048627,110259.64010282776,118663.67265469061,94621.08731466228,85349.83498349835,99929.80368828078,125258.30258302583,115051.75600739372,84679.06976744186,104634.40860215055,99927.8215223097,87731.34328358209,132028.39909525006,90379.16666666666,89867.64705882354,76429.25278219396,98470.58823529411,74854.64098073555,73562.65601597603,49708.24742268042
1959.0,141767.29308276688,92265.44943820225,92042.06896551725,107558.67200915856,109387.48137108792,95093.30323551543,97426.29289511841,105463.18868844466,119456.16348055373,99888.53904282117,102300.25231286796,92219.92976294996,247476.20066317252,178408.16944024205,114932.7079934747,134357.90494665375,139200.82389289394,123567.06507304116,93354.51080050826,100686.77727501257,130070.24029574862,152117.13030746704,185990.24390243902,133322.9939312205,137810.7142857143,142251.50905432596,218128.44729882886,166838.02083333334,115537.17948717948,137350.2994011976,106289.73509933775,96736.37374860956,116001.78997613364,137528.89908256882,135345.48825710756,99532.71028037384,115803.87931034483,117137.86279683377,99870.66974595842,140675.96513075967,94269.87447698745,97126.1971830986,83099.57401490948,104910.54313099042,84663.45311130588,79485.15349773529,57768.0412371134
1960.0,160794.60210359198,101483.53188507358,108947.55003450657,123545.61101549053,123473.80239520957,110091.59727479183,111660.65333983423,120297.99706888129,141182.95904887715,115833.9670468948,120278.4862196627,109588.03122289678,284233.1681123503,220439.1519024107,130555.69205569205,164871.24878993223,160010.2774922919,137976.0956175299,112741.68797953965,121185.76476527007,151700.85470085472,179458.9985486212,231490.48977650976,165956.90235690237,156024.91103202847,166123.43201204215,254417.07538601273,183589.605734767,132321.3828425096,164530.93812375248,121121.86978297161,110237.34533183352,137401.19760479042,167666.2087912088,175283.39575530586,118044.8642266824,130058.75952121872,136786.1425716189,115139.18128654972,161238.83204392315,114364.79321314952,100697.1590909091,93116.37931034483,114904.03225806452,102200.0,88164.03464085583,69561.8556701031
1961.0,183768.5787502464,115995.7953749124,122279.08587257618,146313.79310344826,147969.10324039185,128077.09923664122,125588.61070201275,155398.92839746713,168401.8506278916,144098.67172675522,144946.3356027233,139823.42954159592,349788.80305006524,272487.52079866885,149949.4658997535,209461.24031007753,177810.2564102564,161001.32802124834,135048.90604890604,145384.30379746837,178231.00303951366,215467.0981661273,262166.70525584626,200264.92287055665,174280.80568720377,195391.73718267796,299203.8360941587,226154.54089312596,155128.82653061225,190223.10756972112,137374.78991596636,126904.43686006826,168935.65844858688,196226.98268003645,190361.98243412797,138187.1275327771,156130.6256860593,164242.60752688174,139429.58579881655,193971.46433041303,126420.43010752689,119225.60275545351,114520.13057671383,129949.59349593495,114331.8544809228,104261.96603190943,77149.48453608247
1962.0,201351.0492253383,140560.87262491204,145942.9763560501,168462.24783861672,165302.3610053313,145623.45679012348,142463.63186541316,175186.2840466926,193464.63978849968,168657.19696969696,172040.57187017004,159753.70675453046,388363.26291079813,297355.695869508,179869.47542337875,217029.15451895044,206878.8501026694,185190.1595744681,157411.6883116883,166621.63534789233,197983.69565217392,246831.31672597863,290224.554276687,238199.19786096257,198055.4899645809,226631.34549038936,340271.6482781678,238928.09815950922,176631.17870722435,226158.05168986082,155851.09983079525,141299.07621247115,191507.56200846945,220802.8041610131,215604.41640378546,155031.25,176559.73451327434,182834.46404341928,154887.4251497006,209337.0927318296,145187.70581778264,126665.49912434326,128208.58558062742,154633.52506162695,133323.15978456015,119776.38453500521,89602.0618556701
1963.0,240847.4609375,159653.9816772375,169786.16352201256,196182.96892980437,188253.45622119814,169948.63813229572,164620.82710513205,188674.62250365317,221793.53562005277,196116.42542479545,212337.74834437086,202117.3652694611,442154.1547277937,358836.59147869673,210121.06135986734,247233.46303501946,237115.89743589744,212378.98936170214,180063.88526727512,194367.4300254453,226986.25224148238,282928.21956368757,336958.9101296418,265722.9235880399,232206.85579196218,260643.76218323587,393878.9880760554,268944.177093359,202480.0,262801.18694362015,174559.5238095238,156380.28169014084,226528.55407047388,252789.7803675482,251015.93371574252,179145.2784503632,204132.74336283185,213310.53351573186,177394.92753623187,227066.75062972293,167616.33109619687,144333.72711163614,150162.68739589117,172438.3788254756,156119.8910081744,141243.27176781002,98344.3298969072
1964.0,263238.1878281159,179405.9196617336,193237.323943662,221917.47851002865,224345.20123839012,194352.1568627451,187431.0776942356,213588.80778588806,254705.06912442396,232219.16092673762,233093.5754189944,226846.68455346875,495455.47431571054,401664.763264335,244513.31114808653,275864.6543330088,275115.5419222904,245158.24468085106,202163.39869281047,221226.4150943396,253892.5816023739,313871.0013908206,374619.8717948718,299230.8201058201,258106.0070671378,290174.3737957611,435247.049689441,305638.74469089194,233498.15043156597,310457.3110893032,201731.16438356164,183014.33691756273,266981.7407181984,312396.45232815965,290091.5538362347,209036.58536585365,239777.16186252772,249004.82425913162,204920.82825822168,264704.8558421851,200375.70942111235,169790.9638554217,176250.14021312396,203678.63105175292,185516.9880624426,156518.65671641793,113932.98969072166
1965.0,296593.5808197989,211158.08045165843,223778.17150956768,256981.7455790074,247403.90625,221271.5756136184,213715.22177419355,235806.42023346302,289948.0946123522,262503.7359900373,252069.65174129355,264090.3034789045,522946.5452203515,428033.17535545025,273313.04710295954,306128.78048780485,295009.1836734694,268049.26764314243,232508.51900393184,250243.61593462716,274720.0,336779.2653621696,398534.2779745781,316420.7397622193,278393.9038686987,316621.0175939135,482448.5503980772,343387.7030162413,258325.66585956415,363431.3534566699,228406.89655172414,209368.61313868614,295890.5775075988,339230.6006137659,333969.55958549224,225715.33742331289,269250.83240843506,270867.21991701244,230991.38991389913,291252.9634300126,234428.89908256882,200566.72760511885,205342.74421230945,231513.0581297388,221559.66697502314,184196.33225458467,133777.31958762885
1966.0,331896.66473877005,243413.96332863186,250286.5288667142,287385.79545454547,287002.3622047244,256223.64217252398,256006.09446419502,267805.55555555556,333864.7406434669,309247.9750778816,293611.8316988295,309503.054257995,597942.9115992014,491656.3656147987,314402.1784666946,353732.8767123288,343104.0816326531,311201.072386059,272473.061760841,291843.58974358975,322348.61845972954,388193.65837026935,467424.27343430213,359336.19550858653,331172.33294255566,365948.6333647502,554921.05649303,393378.2110091743,307719.57040572795,401029.18287937745,274391.30434782605,247359.25925925927,354482.4029126213,396446.32768361585,378780.6788511749,258701.7326732673,317594.8660714286,313721.6423103688,270160.248447205,335148.743718593,270195.85253456223,226065.48347613218,233800.79455164584,274723.02463891247,253065.86270871985,210711.32897603486,157111.34020618556
