,1999,2004,2009,2014
北海道,5077.692307692308,4755.2,4451.612903225807,4538.709677419355
青森県,3769.4610778443116,3646.296296296296,3640.764331210191,3461.842105263158
岩手県,4211.363636363636,3821.301775147929,3379.166666666667,3733.1288343558285
宮城県,4401.226993865031,4296.178343949045,4246.496815286624,4219.594594594595
秋田県,4121.714285714285,3872.0496894409935,4064.4295302013425,3729.032258064516
山形県,4263.978494623656,3789.3048128342243,3698.3240223463686,3961.931818181818
福島県,4459.649122807017,3895.8333333333335,4057.5,4034.437086092715
茨城県,4854.335260115607,4313.450292397661,4244.444444444444,4319.333333333333
栃木県,4390.857142857143,4524.550898203593,4422.5,4523.076923076923
群馬県,4516.969696969697,4356.493506493506,4211.8421052631575,4147.972972972973
埼玉県,5068.553459119496,4772.185430463576,4993.430656934306,4833.812949640288
千葉県,5545.394736842105,5041.379310344828,5033.088235294117,5046.564885496183
東京都,5588.43537414966,5682.142857142858,5324.827586206897,5496.402877697842
神奈川県,5805.517241379311,5610.294117647059,5645.3125,5232.06106870229
新潟県,4226.595744680852,4503.636363636364,4103.067484662577,3995.5974842767296
富山県,4606.18556701031,4500.561797752809,4507.453416149068,4034.7058823529414
石川県,4918.539325842697,4500.0,4141.566265060241,4139.877300613497
福井県,4848.9010989010985,4512.5,4301.7441860465115,4041.4772727272725
山梨県,4355.172413793103,4147.096774193548,4007.5,4371.140939597315
長野県,4407.777777777777,4069.4610778443116,4121.25,3966.0130718954247
岐阜県,4787.222222222222,4395.238095238095,4326.708074534161,4052.7950310559004
静岡県,4798.224852071006,4657.232704402515,4366.666666666667,4358.441558441558
愛知県,5000.0,4868.354430379746,4680.519480519481,4681.756756756757
三重県,4752.046783625731,4563.975155279503,4500.657894736842,4550.694444444444
滋賀県,5104.458598726114,4747.058823529412,4545.751633986928,4622.818791946309
京都府,5198.611111111111,4510.958904109589,4251.094890510949,4178.472222222223
大阪府,5059.310344827586,4761.764705882352,4683.464566929134,4596.899224806201
兵庫県,5171.232876712329,5094.7761194029845,4943.939393939394,4703.053435114503
奈良県,5677.304964539007,5090.579710144928,4927.407407407407,4678.625954198473
和歌山県,4432.484076433121,4404.929577464789,3894.4055944055945,3935.6164383561645
鳥取県,4138.888888888889,4203.680981595092,3677.7108433734943,3845.9627329192544
島根県,4606.547619047619,4066.071428571429,4016.56050955414,4191.216216216217
岡山県,5030.967741935484,4311.920529801325,4695.918367346939,4273.793103448276
広島県,4916.216216216217,4684.137931034483,4818.978102189781,4412.94964028777
山口県,4951.127819548872,4841.666666666666,4338.235294117647,4339.55223880597
徳島県,4344.117647058823,4212.658227848101,4269.86301369863,4188.9655172413795
香川県,4781.528662420382,4351.592356687898,4354.054054054054,4451.470588235294
愛媛県,4262.416107382551,4361.971830985915,4224.264705882352,3965.714285714286
高知県,4380.7692307692305,4417.361111111111,3780.689655172414,3838.194444444445
福岡県,4889.285714285715,4625.0,4468.613138686131,4143.065693430656
佐賀県,4291.954022988506,3994.767441860465,3628.2352941176473,3822.077922077922
長崎県,4347.058823529412,3945.2702702702704,3968.3453237410076,3939.2857142857147
熊本県,4376.973684210527,3866.8674698795185,3664.935064935065,3779.487179487179
大分県,4503.355704697987,4144.285714285715,4150.72463768116,4235.60606060606
宮崎県,3883.229813664596,3764.5569620253164,3920.2797202797206,3795.6834532374105
鹿児島県,4109.79020979021,4060.416666666667,3717.857142857143,3942.0289855072465
沖縄県,3579.591836734694,3085.714285714286,3376.296296296296,3258.7412587412587
